## 医生信息（格式为:姓名|科室|擅长）
鲍遇海|神经外科|擅长听神经瘤、脑膜瘤、垂体瘤、颅咽管瘤、胶质瘤、三叉神经痛、面积痉挛、挠肝肿瘤、脑动脉瘤、脑血管畸形、脊髓血管畸形的显微外科治疗。

江建东|神经外科|在胶质瘤，脑膜瘤，垂体瘤，听神经瘤，椎管内肿瘤，脑动脉瘤，脑血管畸形，脑积水，三叉神经痛，面积痉挛等神经系统常见病多发病的外科治疗方面积累了丰富的经验，擅长多模态影像引导下脑胶质瘤的手术切除，脊髓电刺激昏迷促醒，顽固性疼痛的外科治疗。

刘小伟|神经外科|颅内动脉瘤，烟雾病，脑动脉狭窄闭塞，脑血管畸形，脑膜瘤，听神经瘤，胶质瘤，垂体瘤，面积痉挛，三叉神经痛，高血压脑出血，路脑外伤等神经外科常见疾病的诊治。尤其擅长脑血管疾病的神经介入治疗。

范军华|眼科|对眼科各种疑难杂症的追因循证治疗，尤其擅长于角膜眼表疾病、青光眼白内障、复杂眼外伤等的诊治。

皮敏石|眼科|擅长青光眼，屈光不正，小儿眼病，眼底病及眼表疾病，葡萄膜炎的诊治。

胡鹭萍|眼科|擅长青少年近视防控及斜弱视，干眼症，白内障，青光眼及全身疾病相关视网膜病变等眼科常见病的诊疗。

吴艺君|眼科|各种儿童屈光不正、近视防控、角膜塑形镜验配、白内障、糖尿病视网膜病变、眼底黄斑疾病、视网膜血管性疾病、眼外伤、各类葡萄膜炎等诊治。各种眼科疾病的激光治疗。

于长英|口腔科|擅长1.口腔颌面部损伤的急救；口腔颌面部炎症、肿瘤、牙槽外科、颞颌关节疾病、涎腺疾病、先天畸形的诊治；牙体病、牙周病、粘膜病的诊治；牙列缺损的固定义齿修复、活动义齿的修复、种植牙修复；牙列缺失的全口义齿修复；牙种植术。

林泉宏|口腔科|擅长儿童早期矫正技术，成年各类复杂牙齿矫正，各类复杂牙，阻生牙，埋伏牙拔除。

刘宗艺|口腔科|擅长人工牙种植、数字化种植、口腔种植修复、牙槽外科、各类复杂牙、埋伏牙、阻生牙拔除。

王军|全科医学科|擅长高血压、冠心病、高脂血症、动脉硬化、动脉斑块、各型心律失常、心力衰竭、糖尿病、脑梗死、老年性痴呆、骨质疏松、慢性阻塞性肺病、肺部感染、支气管哮喘、脂肪肝、慢性胃炎、幽门弯曲菌感染、便秘、慢性腹泻、甲状腺结节、甲状腺炎、高尿酸血症、痛风石、失眠、焦虑、更年期综合症、肿瘤、老年危重症、老年疑难杂症的中西医结合诊治

黄晨岚|全科医学科|擅长1.多种原因导致的睡眠相关问题，如失眠、多梦、梦游、早醒、打呼噜、睡眠呼吸暂停、睡眠过多等；多种原因导致认知障碍、记忆力下降等神经、心理相关心身疾病。2.多学科联合疾病、慢性病、身心疾病等的长期管理，如三高（血压、血糖、血脂、颈动脉斑块等）、骨质疏松、慢性病综合管理技术

张建平|胃肠外科|擅长胃肠和结直肠肿瘤的微创手术治疗。在胃食管返流病以及肥胖症和代谢综合征的微创外科，胃肠疑难危重病的救治，胃食管反流病及代谢减重外科领域也有较高造诣。

曾奕山|胃肠外科|擅长机器人以及腹腔镜胃肠道肿瘤、腹壁疝微创手术，肛肠疾病的微创治疗及术后无痛处理。

胡波|胃肠外科|擅长各类疝病的常规和微创（单孔）治疗（如腹股沟疝、切口疝、脐疝、白线疝、食管裂空疝、造口旁疝、产后腹直肌分离等），胃肠道各种良性疾病及恶性肿瘤的规范诊断及微创治疗（胃肠癌、结直肠癌、消化道间质瘤等），单孔腹腔镜阑尾手术，以及各类急腹症的诊治。

肖红|中医科|擅长中医骨科颈肩腰腿痛，颈椎病，腰椎间盘突出症肩周炎，肩袖损伤，骨质疏松症，骨松性骨折，骨性关节炎，股骨头坏死等。擅长结构针灸，小针刀，整脊复位及中药调理。

尤德明|中医科|擅长1.小儿常见疾病治疗（小儿推拿），内科杂病、风湿类疾病、糖尿病、肿瘤术后的中医诊治。

许林|甲状腺与乳腺外科|长期从事甲状腺及乳腺肿瘤外科临床工作，擅长甲状腺恶性肿瘤根治手术及乳腺良恶性肿瘤的外科诊治手术。

